28 48 24 17 1.75 31 24 17.1 "ML" "Abbasi-et-al" 2012 "fine-grained"
25 47 28 17.5 1.81 29 20 18.3 "CL" "Abbasi-et-al" 2012 "fine-grained"
35 39 26 19.5 1.72 34.5 20 18.7 "CL" "Abbasi-et-al" 2012 "fine-grained"
30 38 32 19.6 1.74 36 23.5 22.5 "CL" "Abbasi-et-al" 2012 "fine-grained"
16 54 30 15 1.84 22.5 21 20.5 "CL" "Abbasi-et-al" 2012 "fine-grained"
28 48 24 18.5 1.75 32.5 22 20.8 "CL" "Abbasi-et-al" 2012 "fine-grained"
18 67 15 19.7 1.74 31 19.7 19.5 "CL" "Abbasi-et-al" 2012 "fine-grained"
49 35 16 25.5 1.55 70 28 17.9 "CH" "Abbasi-et-al" 2012 "fine-grained"
33 61 6 21.2 1.66 46 25 23.8 "CL" "Abbasi-et-al" 2012 "fine-grained"
50 42 8 24 1.6 54 23 15.2 "CL" "Abbasi-et-al" 2012 "fine-grained"
46 43 11 25.5 1.48 64 31 16.8 "CH" "Abbasi-et-al" 2012 "fine-grained"
48 45 7 25.7 1.53 57 26 15.4 "CH" "Abbasi-et-al" 2012 "fine-grained"
38 50 12 21.4 1.67 38 26 24.3 "CL" "Abbasi-et-al" 2012 "fine-grained"
34 41 25 19 1.71 35 22.5 16.8 "CL" "Abbasi-et-al" 2012 "fine-grained"
49 49 2 22 1.64 56 27 21.1 "CH" "Abbasi-et-al" 2012 "fine-grained"
36 63 1 18 1.76 34 20.2 19.5 "CL" "Abbasi-et-al" 2012 "fine-grained"
26 62 12 20 1.68 37 25 21.9 "CL" "Abbasi-et-al" 2012 "fine-grained"
32 52 16 17.5 1.81 30 18 17.5 "CL" "Abbasi-et-al" 2012 "fine-grained"
44 56 0 22.3 1.64 40 23 22.2 "CL" "Abbasi-et-al" 2012 "fine-grained"
24 72 4 19 1.7 31 22 21.4 "CL" "Abbasi-et-al" 2012 "fine-grained"
23 66 11 22.2 1.62 41.5 26.5 24.3 "ML" "Abbasi-et-al" 2012 "fine-grained"
17 76 7 15 1.82 24.5 23 22.7 "CL-ML" "Abbasi-et-al" 2012 "fine-grained"
48 52 0 19 1.67 40 22 19.7 "CL" "Abbasi-et-al" 2012 "fine-grained"
26 67 7 17 1.73 31 20 20 "CL" "Abbasi-et-al" 2012 "fine-grained"
25 62 13 17 1.79 30 20.2 18 "CL" "Abbasi-et-al" 2012 "fine-grained"
28 57 15 20 1.67 34 23 20.8 "CL" "Abbasi-et-al" 2012 "fine-grained"
