1 88 12 0.003 0.017 0.04 13.333 2.408 25 14.715 5.7 13.9302 40.221 25 "Mousavi-et-al" 2011 "IranTriaxial"
2 80.4 19.61 1e-04 0.0048 0.033 330 6.982 30 17.8542 10.8 16.0884 104.967 31 "Mousavi-et-al" 2011 "IranTriaxial"
3 95 5 0.0012 0.011 0.04 33.333 2.521 25 19.7181 15.35 17.0694 75.537 33 "Mousavi-et-al" 2011 "IranTriaxial"
4 97.13 2.87 0.001 0.013 0.033 33 5.121 27 19.8162 16.5 16.9713 55.917 25 "Mousavi-et-al" 2011 "IranTriaxial"
5 81.6 18.4 0.0011 0.011 0.047 42.727 2.34 26 19.62 19.8 16.3827 3.924 23 "Mousavi-et-al" 2011 "IranTriaxial"
6 43 57 0.0025 0.024 1 400 0.23 27 18.9333 12.8 16.7751 42.183 29 "Mousavi-et-al" 2011 "IranTriaxial"
7 45.25 54.75 0.006 0.033 0.2 33.333 0.908 22 17.0694 13.8 15.0093 41.202 27 "Mousavi-et-al" 2011 "IranTriaxial"
8 45.9 54.1 0.001 0.03 0.5 500 1.8 26 17.9523 13.13 15.8922 36.297 13 "Mousavi-et-al" 2011 "IranTriaxial"
9 65.7 34.3 0.011 0.037 0.06 5.455 2.074 23 14.2245 3.4 13.734 30.411 23 "Mousavi-et-al" 2011 "IranTriaxial"
10 84.5 15.5 0.0012 0.014 0.033 27.5 4.949 23 14.6169 4.5 14.0283 26.487 23 "Mousavi-et-al" 2011 "IranTriaxial"
11 55.2 44.8 0.001 0.018 0.105 105 3.086 22 18.4428 14 16.1865 6.867 18 "Mousavi-et-al" 2011 "IranTriaxial"
12 90.6 9.4 0.0012 0.011 0.026 21.667 3.878 25 20.3067 16.3 17.4618 80.442 30 "Mousavi-et-al" 2011 "IranTriaxial"
13 68.8 31.2 0.005 0.022 0.058 11.6 1.669 28 19.0314 17.9 16.1865 7.848 32 "Mousavi-et-al" 2011 "IranTriaxial"
14 72.7 27.3 0.001 0.0072 0.043 43 1.206 25 19.5219 18.5 16.4808 59.841 26 "Mousavi-et-al" 2011 "IranTriaxial"
15 88.5 11.5 0.001 0.014 0.031 31 6.323 26 18.1485 15.6 15.696 21.582 26 "Mousavi-et-al" 2011 "IranTriaxial"
16 94.4 5.6 7e-04 0.011 0.035 50 4.939 26 20.3067 16.4 17.4618 63.765 33 "Mousavi-et-al" 2011 "IranTriaxial"
17 52.2 47.8 0.001 0.03 0.1 100 9 21 18.8352 16.3 16.1865 9.81 17 "Mousavi-et-al" 2011 "IranTriaxial"
18 92.6 7.4 0.0012 0.009 0.029 24.167 2.328 28 19.1295 24.7 15.3036 17.658 11 "Mousavi-et-al" 2011 "IranTriaxial"
19 93.6 6.4 0.002 0.011 0.024 12 2.521 28 18.4428 23.4 14.9112 7.848 15 "Mousavi-et-al" 2011 "IranTriaxial"
20 92.6 7.4 0.007 0.024 0.04 5.714 2.057 28 18.2466 20 15.2055 28.449 26 "Mousavi-et-al" 2011 "IranTriaxial"
21 80.3 19.7 1e-04 0.019 0.04 400 90.25 25 16.8732 9 15.4998 66.708 31 "Mousavi-et-al" 2011 "IranTriaxial"
22 74.6 25.4 0.0013 0.026 0.055 42.308 9.455 22 18.639 15.9 16.0884 22.563 29 "Mousavi-et-al" 2011 "IranTriaxial"
23 93.8 6.2 0.00014 0.003 0.022 157.143 2.922 39 20.5029 15.4 17.7561 48.069 33 "Mousavi-et-al" 2011 "IranTriaxial"
24 59.3 40.7 0.003 0.021 0.08 26.667 1.838 21 18.2466 13.25 16.0884 2.943 21 "Mousavi-et-al" 2011 "IranTriaxial"
25 94.8 5.2 0.0048 0.021 0.041 8.542 2.241 27 17.658 12.8 15.696 41.202 28 "Mousavi-et-al" 2011 "IranTriaxial"
26 83.1 16.9 0.001 0.019 0.06 60 6.017 25 17.9523 15 15.5979 40.221 31 "Mousavi-et-al" 2011 "IranTriaxial"
27 84.1 15.9 0.005 0.028 0.05 10 3.136 25 19.9143 22 16.2846 7.848 29 "Mousavi-et-al" 2011 "IranTriaxial"
28 47.8 52.2 0.01 0.036 0.3 30 0.432 21 16.5789 11 14.9112 5.886 24 "Mousavi-et-al" 2011 "IranTriaxial"
29 93.3 6.7 1e-04 0.001 0.013 130 0.769 33 18.3447 29.4 14.2245 30.411 22 "Mousavi-et-al" 2011 "IranTriaxial"
30 87.3 12.7 7e-04 0.006 0.03 42.857 1.714 31 19.3257 20.4 16.0884 4.905 32 "Mousavi-et-al" 2011 "IranTriaxial"
31 58.4 41.6 0.001 0.023 0.08 80 6.613 23 18.8352 11.1 16.9713 36.297 8 "Mousavi-et-al" 2011 "IranTriaxial"
32 84.5 15.5 0.012 0.043 0.059 4.917 2.612 22 19.7181 16.6 16.8732 5.886 14 "Mousavi-et-al" 2011 "IranTriaxial"
33 89.9 10.1 0.001 0.012 0.033 33 4.364 24 17.7561 10.8 15.9903 76.518 24 "Mousavi-et-al" 2011 "IranTriaxial"
34 95.1 4.9 1e-05 0.001 0.01 1000 10 29 19.2276 30 14.8131 6.867 11 "Mousavi-et-al" 2011 "IranTriaxial"
